crash_record_id,crash_date_est_i,crash_date,posted_speed_limit,traffic_control_device,device_condition,weather_condition,lighting_condition,first_crash_type,trafficway_type,lane_cnt,alignment,roadway_surface_cond,road_defect,report_type,crash_type,intersection_related_i,private_property_i,hit_and_run_i,damage,date_police_notified,prim_contributory_cause,sec_contributory_cause,street_no,street_direction,street_name,beat_of_occurrence,photos_taken_i,statements_taken_i,dooring_i,work_zone_i,work_zone_type,workers_present_i,num_units,most_severe_injury,injuries_total,injuries_fatal,injuries_incapacitating,injuries_non_incapacitating,injuries_reported_not_evident,injuries_no_indication,injuries_unknown,crash_hour,crash_day_of_week,crash_month,latitude,longitude,location,year,month,day_of_week
5784d5619fa5492d79e0cf333d4d590c58704e57cd1291d4e1532f1cd92e30077d45cce358b5b6b6e93aa09678449c183f431718fc2d9816c34ea3ef76ed9d7a,,2025-03-02 01:30:00,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",ANGLE,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",2025-03-02T01:37:00.000,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,2201,N,SEDGWICK ST,1814,,,,,,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1,1,3,41.9220076371,-87.6387908918,POINT (-87.638790891825 41.9220076371),2025,3,Sunday
9925f8e098fa3fb6745dd0ad85a1ca53eb4dc59ef244ff31021314602ade8f5370d87b3ec9ebf168fc50868202a91341e6d5afdf898ce566067686468c449dcd,,2025-03-02 01:22:00,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,DIVIDED - W/MEDIAN BARRIER,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,Y,"OVER $1,500",2025-03-02T01:47:00.000,UNABLE TO DETERMINE,NOT APPLICABLE,715,W,GARFIELD BLVD,711,,,,,,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,3,41.7938661655,-87.6434141134,POINT (-87.643414113378 41.793866165537),2025,3,Sunday
240519fecdc44ea849bbbd655166b6cb2fddd10eb7ca5f65020d3873794a4aa14fd9db81806a55cf1ea179e190f2a73ce759acc5685f346ed248be94355cf77d,,2025-03-02 01:00:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",REAR TO FRONT,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,$500 OR LESS,2025-03-02T01:00:00.000,IMPROPER BACKING,UNABLE TO DETERMINE,1758,N,LARAMIE AVE,2532,,,,,,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1,1,3,41.913108101,-87.7559412359,POINT (-87.755941235908 41.913108100967),2025,3,Sunday
ff17aa3957b12260c1830241704e3573ba1db0f0701c9784f1009ef7c9ef98306ec4a567a3820abc221bfdd87cf2e0aefbbd9eb7558119947cd3bbafe8262740,,2025-03-02 00:25:00,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",REAR TO FRONT,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,$500 OR LESS,2025-03-02T00:25:00.000,IMPROPER BACKING,IMPROPER TURNING/NO SIGNAL,1525,W,FULTON ST,1215,Y,,,,,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0,1,3,41.8864218125,-87.6654114107,POINT (-87.665411410742 41.886421812515),2025,3,Sunday
9bbea5eeca672d41cf43bec53e377e2283a8e353f6995c9dc06df03d7f8a46b1bf68b1aad7e3bb369026a3baa22ae1a83b7c24d21e69945de41b56c577dca31d,,2025-03-02 00:13:00,25,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,UNKNOWN,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",2025-03-02T00:20:00.000,UNABLE TO DETERMINE,NOT APPLICABLE,319,S,KOSTNER AVE,1131,,,,,,,2,"REPORTED, NOT EVIDENT",2.0,0.0,0.0,0.0,2.0,0.0,0.0,0,1,3,41.8763099882,-87.73517857,POINT (-87.735178569998 41.876309988239),2025,3,Sunday
22af17052ef88d82b0ba55f23d0bb20527129d27f650a362d36eb0d856107f2f621bffbf3e6372bd55c0c13838052db2b2ffd6beaed2c2888b07b0e6098fa066,,2025-03-01 23:50:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,UNKNOWN,NOT ON SCENE (DESK REPORT),INJURY AND / OR TOW DUE TO CRASH,,,Y,"OVER $1,500",2025-03-02T00:15:00.000,UNABLE TO DETERMINE,UNABLE TO DETERMINE,3801,N,PULASKI RD,1732,,,,,,,2,"REPORTED, NOT EVIDENT",1.0,0.0,0.0,0.0,1.0,2.0,0.0,23,7,3,41.950078396,-87.7273625187,POINT (-87.727362518716 41.95007839604),2025,3,Saturday
7a69e03ecee51d10c990a598901da112a090cd709ea2b3278920db9f92c2b19115dbcff0f0d3c8f71d5f9a96b9bf663909dad4b76daa7b4f1e1dee04137ab27c,,2025-03-01 23:46:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,T-INTERSECTION,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,Y,,,"$501 - $1,500",2025-03-02T00:20:00.000,IMPROPER LANE USAGE,IMPROPER TURNING/NO SIGNAL,5500,S,INDIANA AVE,231,,,,,,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,23,7,3,41.7943689623,-87.6209833126,POINT (-87.620983312554 41.794368962316),2025,3,Saturday
1ff67db68badf155561ace7aa6f0ff2ddb039ae4568114e0388e8dbd55f5d6009ed803f23ae2834bedeb5394666311db1e3e353ecf0a4caf51059c78c2dfc4f5,,2025-03-01 23:10:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,,"$501 - $1,500",2025-03-01T23:30:00.000,IMPROPER TURNING/NO SIGNAL,IMPROPER TURNING/NO SIGNAL,1425,W,WEBSTER AVE,1811,,,,,,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,23,7,3,41.921503513,-87.6643718343,POINT (-87.664371834268 41.92150351301),2025,3,Saturday
de6fab3fe60faec5a047de9a6e00c4599ad00efa40bfe2a09140d637e477ddcfb0115a5bbcce41e555af38dd4f729840bc8e77effaf723a614f2a0d0aa325541,,2025-03-01 22:51:00,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN BARRIER,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",2025-03-01T23:40:00.000,IMPROPER LANE USAGE,DISREGARDING ROAD MARKINGS,170,N,MICHIGAN AVE,111,,,,,,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,22,7,3,41.8850133147,-87.624625954,POINT (-87.624625953963 41.88501331469),2025,3,Saturday
4cccd49d2f3a90389f783fce03794ef1ac7bfe06c58e8d6b40159144f8817994745f4fc566168b758867bc9b140b2ac290f7f812ab9daf325cfd2fbec212f9f5,,2025-03-01 22:27:00,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",REAR TO FRONT,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",2025-03-01T22:29:00.000,FAILING TO REDUCE SPEED TO AVOID CRASH,NOT APPLICABLE,3240,W,LEXINGTON ST,1134,,,,,,,3,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,7.0,0.0,22,7,3,41.8719668004,-87.7074882569,POINT (-87.707488256928 41.87196680041),2025,3,Saturday
