crash_record_id,crash_date_est_i,crash_date,posted_speed_limit,traffic_control_device,device_condition,weather_condition,lighting_condition,first_crash_type,trafficway_type,lane_cnt,alignment,roadway_surface_cond,road_defect,report_type,crash_type,intersection_related_i,private_property_i,hit_and_run_i,damage,date_police_notified,prim_contributory_cause,sec_contributory_cause,street_no,street_direction,street_name,beat_of_occurrence,photos_taken_i,statements_taken_i,dooring_i,work_zone_i,work_zone_type,workers_present_i,num_units,most_severe_injury,injuries_total,injuries_fatal,injuries_incapacitating,injuries_non_incapacitating,injuries_reported_not_evident,injuries_no_indication,injuries_unknown,crash_hour,crash_day_of_week,crash_month,latitude,longitude,location,year,month,day_of_week
083249928d593064564f91cb965c207f10a8566542a7115c8e278e113d9289754c5724eea4ce93be9c4abaa2105ae4b243b5fb604b0efc60aadcd6aa48c57ce2,,2025-02-27 01:00:00,30,NO CONTROLS,NO CONTROLS,RAIN,DARKNESS,REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",2025-02-27T01:30:00.000,UNABLE TO DETERMINE,NOT APPLICABLE,7,S,CENTRAL AVE,1522,,,,,,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1,5,2,41.8799756222,-87.7647124867,POINT (-87.764712486675 41.879975622162),2025,2,Thursday
f9f88eeac47916b05ca28ae2eca6da82b2d4eb20317d6b10179395066cf845fdba4480b7a77e06c9c079432d2576c2d471e099c545f1c68cf16201e86c7f953d,,2025-02-27 00:27:00,30,UNKNOWN,UNKNOWN,UNKNOWN,"DARKNESS, LIGHTED ROAD",SIDESWIPE OPPOSITE DIRECTION,NOT DIVIDED,,"CURVE, LEVEL",WET,UNKNOWN,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,Y,"OVER $1,500",2025-02-27T00:28:00.000,UNABLE TO DETERMINE,UNABLE TO DETERMINE,13000,S,INDIANA AVE,533,,,,,,,2,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0,5,2,41.6590092158,-87.6174479065,POINT (-87.617447906473 41.659009215787),2025,2,Thursday
5c5044d44742d849741c78c3873cca9f80398385640052f1963a5c3e83c6a219b0d14949045e1403d805d02f98aab9733b39288ad370eaab971c1ef11917b155,,2025-02-26 21:39:00,30,NO CONTROLS,NO CONTROLS,CLEAR,DARKNESS,SIDESWIPE SAME DIRECTION,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,$500 OR LESS,2025-02-26T21:41:00.000,IMPROPER LANE USAGE,IMPROPER LANE USAGE,1647,W,MADISON ST,1224,,,,,,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,21,4,2,41.8813211212,-87.6685421809,POINT (-87.668542180871 41.881321121153),2025,2,Wednesday
391fe9556b014e9d2ec169e69dda2028927827aa291d5d5238a6d0ad29438b7b39412bd22c595e4f83571a6883193e4178e176d62b03ae134f67513ce7597d02,,2025-02-26 20:53:00,45,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",FIXED OBJECT,DIVIDED - W/MEDIAN BARRIER,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",2025-02-26T20:53:00.000,UNABLE TO DETERMINE,NOT APPLICABLE,700,S,LAKE SHORE DR SB,114,,,,,,,1,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,1.0,0.0,20,4,2,41.873190589,-87.6174581402,POINT (-87.617458140248 41.873190589037),2025,2,Wednesday
6b6d844f108c9641715da81ec73514cf5b234f369ddd7265a7932913f4f59515dc4fc87dd4d2667add148786141fff1f913cd684919648ff50e6b9caf79feed4,,2025-02-26 20:36:00,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,$500 OR LESS,2025-02-26T20:36:00.000,DISTRACTION - FROM INSIDE VEHICLE,NOT APPLICABLE,1549,W,DIVERSEY PKWY,1932,,,,,,,2,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,1.0,0.0,20,4,2,41.9322995169,-87.66791511,POINT (-87.667915109974 41.932299516942),2025,2,Wednesday
bac53be145bd1a11f3ea94a0c5bab97102a5bfca2c667aba0d754b4e47ea3322eaa53572ec0939b2df63f4d70f29b72ec62dfe2106ecaeb7e8fe47f2c4d8b3ea,,2025-02-26 20:00:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DARKNESS,FIXED OBJECT,PARKING LOT,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",2025-02-26T20:02:00.000,DISTRACTION - FROM INSIDE VEHICLE,NOT APPLICABLE,1533,E,67TH ST,332,,,,,,,1,INCAPACITATING INJURY,1.0,0.0,1.0,0.0,0.0,0.0,0.0,20,4,2,41.7732125487,-87.5874137517,POINT (-87.58741375167 41.773212548669),2025,2,Wednesday
69299d504dff13175c40e8424f66c00ba6b651e3090068591b21df06e6dc1fe24830032025b3ae377d5ce3490846826ec05e3f0e21e24c2d70bb0f15e4a10104,,2025-02-26 19:52:00,20,NO CONTROLS,NO CONTROLS,CLEAR,UNKNOWN,REAR TO REAR,PARKING LOT,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",2025-02-26T21:50:00.000,IMPROPER BACKING,NOT APPLICABLE,4631,W,FOSTER AVE,1712,,,,,,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,19,4,2,41.9752598896,-87.7442136774,POINT (-87.744213677351 41.975259889615),2025,2,Wednesday
2566b5a5378e06c0e6f3ed2979c05b9fc544f3cfa06a431f08fb4919d478e0beda807eeb2dd6e14dc4eafc99e2eb75dc2d57390d37b8e6d8f7f0941088627d5a,,2025-02-26 19:33:00,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",ANGLE,FOUR WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",2025-02-26T20:21:00.000,DISREGARDING STOP SIGN,FAILING TO YIELD RIGHT-OF-WAY,200,W,118TH ST,522,,,,,,,2,NONINCAPACITATING INJURY,2.0,0.0,0.0,1.0,1.0,3.0,0.0,19,4,2,41.6798993875,-87.6275812719,POINT (-87.627581271873 41.679899387527),2025,2,Wednesday
809d44ee5154c51301c24f4b6a434a06e44676b01a9bfb01aae6f5e708c3898f1522799db01af91a2cac5dc1e1d84668202b665bdd63aa2aad6af9cbb6a0d862,,2025-02-26 19:33:00,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",2025-02-26T19:35:00.000,IMPROPER OVERTAKING/PASSING,NOT APPLICABLE,4468,S,ARCHER AVE,821,,,,,,,4,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,2.0,0.0,19,4,2,41.8121814383,-87.7075855441,POINT (-87.707585544057 41.812181438274),2025,2,Wednesday
273a4a0b2bff4833bee91c68097675639e8d9ecdd26a540455b351181e55ea724c23a5b5b6c2217a90e987b23730d5db58d67fc55f628fdfe3a2a3f5f9967705,,2025-02-26 19:03:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,"FIVE POINT, OR MORE",,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",2025-02-26T19:04:00.000,UNABLE TO DETERMINE,UNABLE TO DETERMINE,3244,W,COLUMBUS AVE,834,,,,,,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,3.0,0.0,19,4,2,41.7497625468,-87.7037847725,POINT (-87.703784772509 41.749762546806),2025,2,Wednesday
de62f8a525c81ba44c5e24ce8764d0136aba0c7bfb04a78ab26854ed1aa53f95018662ad7ad463c9df04e912fd477a2f9480856750cd75de4ee20dc5def74dba,,2025-02-26 19:01:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,FOUR WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",2025-02-26T19:10:00.000,FAILING TO YIELD RIGHT-OF-WAY,IMPROPER TURNING/NO SIGNAL,2159,S,LOOMIS ST,1235,,,,,,,2,INCAPACITATING INJURY,1.0,0.0,1.0,0.0,0.0,4.0,0.0,19,4,2,41.8524660331,-87.6610191121,POINT (-87.661019112107 41.852466033091),2025,2,Wednesday
9344b49c5c5c099409d51b54f68ea66a6d64c6271dc2804aa167a66717ba8f8a04d1c38a1580784ace95243d78b18b78ce755eeb319232b50a9221c07029f99e,,2025-02-26 18:22:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",2025-02-26T18:30:00.000,FOLLOWING TOO CLOSELY,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,502,N,CENTRAL AVE,1512,,,,,,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,3.0,0.0,18,4,2,41.8894337158,-87.7653344227,POINT (-87.765334422705 41.889433715807),2025,2,Wednesday
